岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
优能1对1数据专员(J17699),哈尔滨新东方学校,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,500-1000人,"['教育', '培训', '院校']","['五险一金', '专业培训', '绩效奖金', '带薪年假']","""本科""",4.0,5.0,4.5
家乐福工程员工,家乐福哈尔滨 Harbin,"[2.0, 4.0, 3.0]",哈尔滨-道外区,合资,10000人以上,"['批发', '零售']","['带薪年假', '五险一金', '节日福利', '加班补贴', '年底双薪']","""高中""",2.0,4.0,3.0
营销策划主任,交通银行股份有限公司太平洋信用卡中心,"[4.0, 5.0, 4.5]",哈尔滨,国企,150-500人,"['金融', '投资', '证券']","['带薪年假', '五险一金', '专业培训', '节日福利', '绩效奖金', '补充医疗保险', '行服', '做五休二', '做一休一', '高温补贴']","""本科""",4.0,5.0,4.5
预算员,江苏南通二建集团有限公司,"[7.0, 12.0, 9.5]",哈尔滨-南岗区,民营公司,500-1000人,"['建筑', '建材', '工程']","['五险一金', '通讯补贴', '定期体检', '绩效奖金']","""大专""",7.0,12.0,9.5
多式联运专员,中储南京智慧物流科技有限公司,"[12.0, 16.0, 14.0]",哈尔滨,国企,1000-5000人,"['互联网', '电子商务']","['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '餐饮补贴', '通讯补贴', '高温补贴', '专业培训', '定期体检']","""中专""",12.0,16.0,14.0
行政前台,雅马哈音乐中心,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,合资,150-500人,"['教育', '培训', '院校']","['专业培训', '绩效奖金', '缴纳五险']","""大专""",2.0,4.0,3.0
省区经理,四川好彩头实业股份有限公司,"[12.0, 18.0, 15.0]",哈尔滨,民营公司,1000-5000人,['快速消费品(食品、饮料、化妆品)'],"['通讯补贴', '绩效奖金', '餐饮补贴', '满勤奖', '年休假', '专业培训', '住房补贴', '带薪年假']","""大专""",12.0,18.0,15.0
专利师、专利工程师,发明之家（北京）科技有限公司,"[6.0, 18.0, 12.0]",哈尔滨-南岗区,创业公司,50-150人,['专业服务(咨询、人力资源、财会)'],"['五险一金', '专业培训', '绩效奖金', '带薪年假', '全勤奖']","""本科""",6.0,18.0,12.0
君豪新城楼盘销售月薪过万,哈尔滨君豪置业房地产有限公司,"[7.0, 10.0, 8.5]",哈尔滨-呼兰区,民营公司,500-1000人,['房地产'],[''],"""初中及以下""",7.0,10.0,8.5
农艺师,黑龙江农垦久丰肥业有限公司,"[5.0, 10.0, 7.5]",哈尔滨,民营公司,少于50人,"['农', '林', '牧', '渔']","['五险一金', '员工旅游', '通讯补贴', '定期体检', '绩效奖金', '交通补贴', '餐饮补贴', '年终奖金', '弹性工作', '补充医疗保险']","""本科""",5.0,10.0,7.5
工厂会计,黑龙江美润种业有限公司,"[5.0, 7.0, 6.0]",哈尔滨-道里区,民营公司,150-500人,"['农', '林', '牧', '渔']","['五险', '包吃', '包住宿', '节日福利', '交通补贴', '周末双休']","""大专""",5.0,7.0,6.0
货车司机,黑龙江国香商贸有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['员工旅游', '餐饮补贴']","""高中""",4.0,5.0,4.5
美术教师（小央美道里分中心）,小央美儿童美术,"[5.0, 7.0, 6.0]",哈尔滨-道里区,创业公司,50-150人,"['教育', '培训', '院校']","['员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '五险一金', '定期体检']","""本科""",5.0,7.0,6.0
法务专员,金德管业集团,"[7.0, 10.0, 8.5]",哈尔滨-道里区,合资,10000人以上,['房地产'],"['免费班车', '员工旅游', '专业培训', '弹性工作', '绩效奖金', '年终奖金', '交通补贴', '通讯补贴']","""本科""",7.0,10.0,8.5
IT开发工程师,浙江福莱新材料股份有限公司,"[7.0, 10.0, 8.5]",异地招聘,民营公司,1000-5000人,"['印刷', '包装', '造纸']","['节日福利', '绩效奖金', '五险一金', '带薪年假']","""本科""",7.0,10.0,8.5
电工,杭州飞武机电有限公司,"[12.0, 24.0, 18.0]",哈尔滨,民营公司,少于50人,"['互联网', '电子商务']",[''],"""大专""",12.0,24.0,18.0
餐厅经理,黑龙江省云天商贸有限责任公司,"[7.0, 10.0, 8.5]",哈尔滨-道里区,民营公司,50-150人,"['贸易', '进出口']",[''],"""大专""",7.0,10.0,8.5
给排水和环境工程设计师,哈尔滨名品市政工程设计咨询有限公司,"[4.0, 12.0, 8.0]",哈尔滨-南岗区,民营公司,少于50人,['专业服务(咨询、人力资源、财会)'],[''],"""本科""",4.0,12.0,8.0
高端汽车润滑油销售代表,汇远绅途科技（黑龙江）有限公司,"[4.0, 12.0, 8.0]",哈尔滨-南岗区,民营公司,50-150人,['汽车'],"['周末双休', '节日福利', '全勤奖', '餐饮补贴', '绩效奖金', '专业培训', '高温补贴', '带薪年假']","""初中及以下""",4.0,12.0,8.0
工程经理,中辉生鲜,"[7.0, 10.0, 8.5]",哈尔滨-香坊区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['包吃', '加班补贴']","""大专""",7.0,10.0,8.5
2020储备干部,哈尔滨讯北科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,50-150人,"['通信', '电信', '网络设备']",[''],"""大专""",5.0,7.0,6.0
会计,黑龙江省宝唐房地产开发有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['房地产'],"['包吃', '免费班车', '餐饮补贴', '通讯补贴']","""本科""",7.0,10.0,8.5
区域销售经理（黑龙江）,武汉高能激光设备制造有限公司东北办事处,"[20.0, 100.0, 60.0]",异地招聘,民营公司,150-500人,"['机械', '设备', '重工']","['免费班车', '专业培训', '绩效奖金', '年终奖金', '免费工作餐', '五险一金', '员工旅游', '免费宿舍']","""大专""",20.0,100.0,60.0
销售经理,哈尔滨开来商贸有限公司,"[5.0, 7.0, 6.0]",哈尔滨-道外区,民营公司,150-500人,"['贸易', '进出口']",[''],"""大专""",5.0,7.0,6.0
课程顾问\教育咨询师,哈尔滨市南岗区新航道文化培训学校,"[10.0, 19.0, 14.5]",哈尔滨-南岗区,民营公司,50-150人,"['教育', '培训', '院校']","['弹性工作', '带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '做五休二']","""本科""",10.0,19.0,14.5
销售经理,哈尔滨和田久治农业生产资料有限公司,"[4.0, 7.0, 5.5]",哈尔滨-香坊区,民营公司,少于50人,"['农', '林', '牧', '渔']","['员工旅游', '交通补贴', '餐饮补贴', '年终奖金', '绩效奖金', '通讯补贴', '专业培训']","""无需经验""",4.0,7.0,5.5
语文老师,哈尔滨市南岗区诚士文化学校,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']","['餐饮补贴', '专业培训', '五险一金', '弹性工作']","""本科""",4.0,5.0,4.5
经理助理,黑龙江玖京影视传媒有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""大专""",5.0,7.0,6.0
财务会计,黑龙江金安欧罗巴广场发展有限公司,"[5.0, 7.0, 6.0]",哈尔滨-道里区,民营公司,500-1000人,"['物业管理', '商业中心']","['五险', '免费工作餐', '节日福利', '专业培训', '做五休二']","""大专""",5.0,7.0,6.0
运维工程师,汕头市佳创信息科技有限公司,"[12.0, 18.0, 15.0]",哈尔滨-南岗区,民营公司,50-150人,['计算机软件'],"['五险一金', '年终奖金', '定期体检', '周末双休']","""本科""",12.0,18.0,15.0
（办公家具）高薪诚聘销售代表,哈尔滨汇升行商贸有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,150-500人,"['贸易', '进出口']","['五险一金', '员工旅游', '交通补贴', '专业培训', '绩效奖金', '周末双休']","""大专""",7.0,10.0,8.5
资产评估助理人员,奥隆工程项目管理有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,50-150人,['多元化业务集团公司'],"['周末双休', '五险', '节日福利', '专业培训', '年终奖金']","""大专""",4.0,5.0,4.5
跨境电商视觉设计师,沈阳吉夫特电子商务有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,"['互联网', '电子商务']",[''],"""大专""",7.0,10.0,8.5
包装物流工程师,哈尔滨艾瑞排放控制技术股份有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,['汽车'],"['五险一金', '节假日福利', '带薪年假']","""本科""",5.0,7.0,6.0
区域培训师,上海威田资产管理有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,1000-5000人,"['金融', '投资', '证券']",[''],"""大专""",5.0,7.0,6.0
QA,绿活美地健康科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,"['批发', '零售']","['做五休二', '全勤奖', '绩效奖金', '专业培训']","""本科""",5.0,7.0,6.0
QA专员,哈尔滨怡康药业有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,"['制药', '生物工程']","['五险一金', '定期体检', '绩效奖金', '免费班车', '带薪年假', '全勤奖', '节日福利']","""本科""",5.0,7.0,6.0
银行催收专员,湖南国文数据服务有限公司黑龙江分公司,"[7.0, 14.0, 10.5]",哈尔滨-道里区,民营公司,50-150人,"['金融', '投资', '证券']","['加班补助', '五险', '出差补助', '技能培训', '晋升空间大', '绩效奖金']","""中专""",7.0,14.0,10.5
店铺店长,黑龙江青团科技发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨-道外区,民营公司,少于50人,['计算机软件'],[''],"""1年经验""",4.0,5.0,4.5
律所直招律师,黑龙江江铭法律咨询服务有限公司,"[4.0, 12.0, 8.0]",哈尔滨-香坊区,民营公司,少于50人,['法律'],[''],"""本科""",4.0,12.0,8.0
人力资源主管（工作地址五常市）,五常市乔府大院农业股份有限公司,"[7.0, 10.0, 8.5]",哈尔滨-五常市,上市公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']","""本科""",7.0,10.0,8.5
销售行政专员,黑龙江省前程优选人力资源有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,500-1000人,['专业服务(咨询、人力资源、财会)'],['弹性工作'],"""大专""",5.0,7.0,6.0
维修技师,黑龙江恒晟达汽车销售服务有限公司,"[5.0, 8.0, 6.5]",哈尔滨-道外区,民营公司,少于50人,['汽车'],"['免费班车', '节日福利', '专业培训', '包住宿', '绩效奖金', '带薪年假', '五险', '包午餐']","""高中""",5.0,8.0,6.5
综合内勤,哈尔滨北能电气有限责任公司,"[2.0, 4.0, 3.0]",哈尔滨-松北区,民营公司,50-150人,"['电气', '电力', '水利']","['五险一金', '包吃', '节日福利', '交通补贴', '加班补贴']","""大专""",2.0,4.0,3.0
见习经理 (MJ034568),麦当劳,"[4.0, 5.0, 4.5]",哈尔滨-道里区,合资,1000-5000人,['餐饮业'],"['弹性工作', '餐饮补贴', '加班补贴', '节日福利', '专业培训']","""大专""",4.0,5.0,4.5
培训经理,哈尔滨市新天地超市有限公司,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,1000-5000人,"['批发', '零售']","['节日福利', '餐饮补贴', '通讯补贴', '交通补贴', '五险']","""大专""",7.0,10.0,8.5
销售代表,长春市富乐辉医疗设备有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['医疗设备', '器械']",[''],"""大专""",4.0,5.0,4.5
销售经理,崔氏生物科技（广州）有限公司,"[5.0, 7.0, 6.0]",异地招聘,创业公司,少于50人,"['美容', '保健']","['弹性工作', '绩效奖金']","""无需经验""",5.0,7.0,6.0
医药销售代表,哈尔滨祥梦医疗器械有限公司,"[6.0, 24.0, 15.0]",哈尔滨-南岗区,民营公司,少于50人,"['医疗设备', '器械']",[''],"""大专""",6.0,24.0,15.0
招聘经理,新湖财富投资管理有限公司,"[12.0, 18.0, 15.0]",哈尔滨-南岗区,民营公司,1000-5000人,"['金融', '投资', '证券']","['五险一金', '免费班车', '餐饮补贴', '年终奖金']","""本科""",12.0,18.0,15.0
车场保卫（五险一金）,哈尔滨松雷股份有限公司,"[4.0, 5.0, 4.5]",哈尔滨-香坊区,民营公司,500-1000人,"['批发', '零售']","['带薪年假', '五险一金', '包吃', '节日福利']","""高中""",4.0,5.0,4.5
副总总工,黑龙江广森测绘科技股份有限公司,"[10.0, 15.0, 12.5]",哈尔滨-南岗区,民营公司,50-150人,"['农', '林', '牧', '渔']","['五险一金', '专业培训', '餐饮补贴']","""大专""",10.0,15.0,12.5
销售,黑龙江悦农农业有限公司,"[5.0, 7.0, 6.0]",哈尔滨-松北区,民营公司,50-150人,"['农', '林', '牧', '渔']",[''],"""无需经验""",5.0,7.0,6.0
web前端\h5工程师,哈尔滨工程大学动力装置工程技术研究所,"[5.0, 7.0, 6.0]",哈尔滨,非营利组织,少于50人,"['学术', '科研']","['年终奖金', '五险', '带薪年假', '法定假日', '通讯补贴', '工龄工资', '生日贺礼']","""大专""",5.0,7.0,6.0
销售内勤,哈尔滨众欣联合医药有限公司,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,民营公司,150-500人,"['医疗', '护理', '卫生']","['五险一金', '员工旅游', '绩效奖金', '年终奖金']","""中专""",2.0,4.0,3.0
无线通信设计人员,吉林吉大通信设计院股份有限公司,"[5.0, 7.0, 6.0]",异地招聘,国企,1000-5000人,"['通信', '电信', '网络设备']","['五险一金', '专业培训', '通讯补贴', '定期体检']","""本科""",5.0,7.0,6.0
中国交通广播电台频度FM101.4广告部主任,哈尔滨十七月文化发展有限公司,"[10.0, 12.0, 11.0]",哈尔滨-香坊区,民营公司,少于50人,['广告'],[''],"""大专""",10.0,12.0,11.0
销售,哈尔滨凯瑞利达经贸有限公司,"[4.0, 6.0, 5.0]",哈尔滨-香坊区,民营公司,50-150人,"['贸易', '进出口']","['员工旅游', '五险']","""大专""",4.0,6.0,5.0
区域销售经理,烟台艾德康生物科技有限公司,"[7.0, 10.0, 8.5]",异地招聘,民营公司,150-500人,"['医疗设备', '器械']","['五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '出国机会', '专业培训', '通讯补贴', '定期体检']","""大专""",7.0,10.0,8.5
售后服务工程师（沈阳）,珠海普利德医疗设备有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,"['医疗设备', '器械']","['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '出国机会', '免费班车', '绩效奖金']","""大专""",5.0,7.0,6.0
审计专员（哈尔滨）,安佑生物科技集团股份有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,"['农', '林', '牧', '渔']",[''],"""本科""",5.0,7.0,6.0
应用工程师\技术服务工程师,深圳市中电电力技术股份有限公司,"[7.0, 11.0, 9.0]",哈尔滨-南岗区,民营公司,1000-5000人,"['电气', '电力', '水利']","['五险一金', '绩效奖金', '年终奖金', '出差补助', '加班补助', '定期体检', '带薪年假', '节日福利']","""大专""",7.0,11.0,9.0
车间主任,哈尔滨冠能牧业发展有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-道里区,民营公司,50-150人,"['农', '林', '牧', '渔']",[''],"""高中""",5.0,7.0,6.0
教务管理老师,哈尔滨九思教育信息咨询有限公司,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",4.0,5.0,4.5
生产部后勤,哈尔滨红旗锅炉有限公司,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,150-500人,"['机械', '设备', '重工']","['免费班车', '周末双休', '午餐', '加班补助', '五险']","""初中及以下""",2.0,4.0,3.0
销售岗-2021届校招(J11802),上海高顿企业管理咨询有限公司,"[7.0, 12.0, 9.5]",异地招聘,民营公司,1000-5000人,['专业服务(咨询、人力资源、财会)'],"['带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金']","""本科""",7.0,12.0,9.5
营销特训生（管培生）（哈尔滨）,广联达科技股份有限公司,"[12.0, 18.0, 15.0]",哈尔滨,合资,,"['互联网', '电子商务']",[''],"""本科""",12.0,18.0,15.0
工程管理岗（哈尔滨）,广东龙光集团物业管理有限公司深圳分公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,"['物业管理', '商业中心']",[''],"""本科""",7.0,10.0,8.5
数据库运维工程师（哈尔滨）,云和恩墨（北京）信息技术有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,['计算机服务(系统、数据服务、维修)'],[''],"""本科""",7.0,10.0,8.5
菁英生（部长助理）（哈尔滨）,广州国机密封科技有限公司,"[12.0, 18.0, 15.0]",哈尔滨,国企,,"['批发', '零售']",[''],"""硕士""",12.0,18.0,15.0
客户增长经理,哈尔滨数谱科技有限公司,"[10.0, 12.0, 11.0]",哈尔滨-南岗区,民营公司,少于50人,['计算机软件'],"['定期体检', '绩效奖金', '养老医疗保险']","""大专""",10.0,12.0,11.0
收银员,松花江索道,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,50-150人,"['酒店', '旅游']","['五险一金', '节日福利', '餐饮补贴', '交通补贴', '加班补贴', '带薪年假', '专业培训', '员工旅游']","""高中""",2.0,4.0,3.0
2021届管培生—检测类,常州市建筑科学研究院集团股份有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,"['建筑', '建材', '工程']",[''],"""本科""",7.0,10.0,8.5
