渠道经理北区（长春）,深圳开立生物医疗科技股份有限公司,12-18,长春,上市公司,1000-5000人,医疗设备\器械,"['五险一金', '交通补贴', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金']","""本科"""
销售经理（内窥镜）-长春,深圳开立生物医疗科技股份有限公司,10-12,长春,上市公司,1000-5000人,医疗设备\器械,"['五险一金', '交通补贴', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金']","""本科"""
美容店长,贝颜科技有限公司,12-24,长春-朝阳区,民营公司,150-500人,互联网\电子商务,"['弹性工作', '带薪年假', '节日福利']","""1年经验"""
销售工程师（青岛）,吉林省格莱瑞机电工程有限公司,5-7,异地招聘,民营公司,少于50人,建筑\建材\工程,"['周末双休', '五险一金', '绩效奖金', '节日福利', '加班补贴']","""无需经验"""
学术推广经理\专员,成都第一制药有限公司,10-12,异地招聘,民营公司,500-1000人,制药\生物工程,"['五险一金', '专业培训', '绩效奖金', '定期体检', '交通补贴', '通讯补贴']","""大专"""
销售内勤,长春市诚赉网络科技有限公司,4-5,长春-南关区,民营公司,50-150人,计算机软件,"['五险一金', '餐饮补贴', '弹性工作']","""大专"""
销售经理,长春市诚赉网络科技有限公司,12-18,长春-南关区,民营公司,50-150人,计算机软件,['福利面议'],"""本科"""
APP测试工程师,长春市诚赉网络科技有限公司,4-5,长春-南关区,民营公司,50-150人,计算机软件,"['五险一金', '餐饮补贴', '弹性工作']","""本科"""
采购,长春华智智能装备有限公司,4-5,长春,民营公司,50-150人,机械\设备\重工,"['五险一金', '专业培训', '绩效奖金', '免费班车', '住宿']","""大专"""
销售工程师,长春三丰机械设备有限公司,4-18,长春-南关区,民营公司,少于50人,机械\设备\重工,[''],"""大专"""
售后工程师,长春三丰机械设备有限公司,4-7,长春-南关区,民营公司,少于50人,机械\设备\重工,[''],"""大专"""
大客户销售代表,长春三丰机械设备有限公司,4-18,长春-南关区,民营公司,少于50人,机械\设备\重工,[''],"""大专"""
工程项目经理,吉林省格莱瑞机电工程有限公司,7-10,长春-汽车产业开发区,民营公司,少于50人,建筑\建材\工程,"['周末双休', '五险一金', '绩效奖金', '节日福利', '加班补贴']","""3-4年经验"""
自媒体运营,长春市鼎信互娱文化传媒有限公司,10-12,长春-二道区,民营公司,,影视\媒体\艺术\文化传播,[''],"""无需经验"""
视频主播,长春市鼎信互娱文化传媒有限公司,10-12,长春-二道区,民营公司,,影视\媒体\艺术\文化传播,[''],"""无需经验"""
主播,长春市鼎信互娱文化传媒有限公司,10-12,长春-二道区,民营公司,,影视\媒体\艺术\文化传播,[''],"""无需经验"""
商务分销专员（OTC线）,中国中药控股有限公司营销中心,6-8,长春,国企,1000-5000人,制药\生物工程,"['员工旅游', '交通补贴', '股票期权', '年终奖金', '绩效奖金', '出国机会', '专业培训', '通讯补贴', '社会保险', '节日福利']","""大专"""
主播,吉林省嘉磊文化传媒有限公司,6-24,长春-南关区,合资,500-1000人,影视\媒体\艺术\文化传播,[''],"""无需经验"""
19  驻场客服 六险一金,贝壳找房·长春站,5-7,长春,民营公司,10000人以上,房地产,"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""本科"""
19 房地产店经理  商圈经理,贝壳找房·长春站,7-10,长春,民营公司,10000人以上,房地产,"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""大专"""
19  净月急招  新房二手房销售顾问,贝壳找房·长春站,5-7,长春,民营公司,10000人以上,房地产,"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""大专"""
金融专员19,贝壳找房·长春站,5-10,长春,民营公司,10000人以上,房地产,"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""本科"""
钳工,长春市英普磁电技术开发有限公司,4-6,长春-二道区,民营公司,50-150人,机械\设备\重工,"['五险一金', '交通补贴', '弹性工作', '绩效奖金', '免费班车', '节日福利']","""中专"""
高端高铁乘务员,河南普斯旅服人力资源有限公司,5-8,异地招聘,民营公司,50-150人,专业服务(咨询、人力资源、财会),"['做一休一', '五险一金', '带薪年假', '包吃', '包住宿', '免费班车', '全勤奖', '绩效奖金', '节日福利', '专业培训']",['']
销售代表,吉林省格鲁环保科技有限公司,2-4,长春-净月经济开发区,外资（非欧美）,少于50人,环保,[''],"""中专"""
人事行政部-招聘岗,中国平安财产保险股份有限公司吉林分公司,5-7,长春-二道区,上市公司,1000-5000人,保险,"['绩效奖金', '定期体检', '带薪年假', '五险二金', '取暖补贴', '过节费', '生日福利', '年终奖金', '节日福利', '专业培训']","""本科"""
生产操作工,长春莱特维科技有限公司,4-5,长春,民营公司,50-150人,汽车,"['周末双休', '带薪年假', '五险一金', '免费班车', '节日福利', '专业培训', '高温补贴', '做四休二']","""高中"""
车间工人,长春莱特维科技有限公司,4-5,长春,民营公司,50-150人,汽车,"['周末双休', '带薪年假', '五险一金', '免费班车', '节日福利', '专业培训', '高温补贴', '做四休二']","""高中"""
吉林省区域经理,东莞市丰熙食品有限公司,12-18,异地招聘,民营公司,1000-5000人,快速消费品(食品、饮料、化妆品),"['年终奖金', '购买社保', '包吃住']","""高中"""
实习工,长春金未来形象工程有限公司,2-2,长春-朝阳区,民营公司,150-500人,多元化业务集团公司,"['节日福利', '免费班车', '带薪年假', '加班补贴', '工作餐']","""无需经验"""
焊工,长春金未来形象工程有限公司,4-6,长春-朝阳区,民营公司,150-500人,多元化业务集团公司,"['节日福利', '免费班车', '带薪年假', '13薪', '五险', '工作餐']","""3-4年经验"""
方案工程师,长春胜瑞诺科技有限公司,6-12,长春,民营公司,少于50人,机械\设备\重工,"['五险一金', '餐饮补贴', '交通补贴', '年终奖金', '周末双休']","""本科"""
长春合成分装发货员,生工生物工程（上海）股份有限公司,4-5,长春,合资,500-1000人,制药\生物工程,"['做五休二', '带薪年假', '五险一金', '包住宿', '免费班车', '绩效奖金', '节日福利', '员工旅游', '定期体检', '生日会']","""高中"""
销售代表,吉林省格鲁环保科技有限公司,4-10,长春-净月经济开发区,外资（非欧美）,少于50人,环保,[''],"""大专"""
焊工维修员,长春市远方亨通汽车零部件有限公司,4-5,长春-朝阳区,民营公司,少于50人,机械\设备\重工,[''],"""1年经验"""
库管+做饭,长春市远方亨通汽车零部件有限公司,4-5,长春-绿园区,民营公司,少于50人,机械\设备\重工,[''],"""1年经验"""
压铸工，打磨工,长春市远方亨通汽车零部件有限公司,5-7,长春-绿园区,民营公司,少于50人,机械\设备\重工,[''],"""1年经验"""
迅驰店聘营业员,吉林省雅丫麻辣哈哈食品有限公司,4-5,长春-净月经济开发区,民营公司,50-150人,快速消费品(食品、饮料、化妆品),[''],"""3-4年经验"""
产品经理助理,吉林省同创嘉绩企业管理有限公司,18-36,长春-南关区,民营公司,少于50人,制药\生物工程,"['五险一金', '补充医疗保险', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']","""本科"""
销售代表（口腔）,吉林省百源康医药有限公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,10-12,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,10-12,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
销售代表（口腔）,吉林省百源康医药有限公司,10-12,异地招聘,民营公司,50-150人,制药\生物工程,[''],"""大专"""
汽车销售顾问,车好多-毛豆新车网,12-18,长春-绿园区,民营公司,10000人以上,互联网\电子商务,[''],"""无需经验"""
跨境电商运营经理,吉林省高歌科技（集团）有限公司,7-12,长春-宽城区,民营公司,50-150人,机械\设备\重工,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '弹性工作', '绩效奖金']","""本科"""
前台接待,深圳市金地物业管理有限公司沈阳分公司,2-4,长春-高新技术产业开发区,民营公司,500-1000人,物业管理\商业中心,"['带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训']","""大专"""
农业机械工程师,科沃施农业科技研发（安徽）有限公司,6-10,长春-净月经济开发区,外资（欧美）,少于50人,学术\科研,"['五险一金', '补充医疗保险', '出国机会', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""本科"""
弱电技术员,吉林省汉硕网络科技有限公司,5-8,长春-经济技术开发区,民营公司,少于50人,通信\电信\网络设备,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '年假', '节日福利']","""大专"""
市场总监,吉林省觉道文化传媒有限责任公司,12-18,长春,民营公司,50-150人,影视\媒体\艺术\文化传播,"['免费班车', '五险一金', '专业培训', '餐饮补贴', '绩效奖金', '全勤奖', '加班补助']","""大专"""
市场部长,修正孕婴童事业部,10-18,长春-高新技术产业开发区,民营公司,500-1000人,制药\生物工程,"['五险一金', '补充医疗保险', '免费班车', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']","""大专"""
培训讲师,修正孕婴童事业部,7-10,长春-高新技术产业开发区,民营公司,500-1000人,制药\生物工程,"['底薪', '提成']","""大专"""
京东、拼多多运营,修正孕婴童事业部,7-10,长春-高新技术产业开发区,民营公司,500-1000人,制药\生物工程,"['绩效奖金', '节日福利', '餐补', '年底双薪', '全勤奖']","""大专"""
新媒体运营专员,长春市弘晟科技中等职业学校,4-5,长春-经济技术开发区,民营公司,50-150人,教育\培训\院校,[''],"""大专"""
计算机专业教师,长春市弘晟科技中等职业学校,4-6,长春-经济技术开发区,民营公司,50-150人,教育\培训\院校,[''],"""大专"""
全国销售总监,修正孕婴童事业部,12-24,长春-高新技术产业开发区,民营公司,500-1000人,制药\生物工程,"['五险一金', '免费班车', '交通补贴', '餐饮补贴', '年终奖金', '绩效奖金', '定期体检', '员工旅游', '通讯补贴', '专业培训']","""大专"""
培训讲师（药品）,修正孕婴童事业部,8-11,长春-高新技术产业开发区,民营公司,500-1000人,制药\生物工程,"['绩效奖金', '五险一金', '免费班车', '员工旅游', '交通补贴', '年终奖金', '定期体检']","""大专"""
天猫京东运营,修正孕婴童事业部,5-7,长春-高新技术产业开发区,民营公司,500-1000人,制药\生物工程,"['绩效奖金', '节日福利', '餐补', '年底双薪', '全勤奖']","""大专"""
平面设计师,长春市华盛瑞康医疗器械有限公司,7-10,长春-宽城区,民营公司,50-150人,医疗设备\器械,[''],"""中专"""
现场经理,长春胜瑞诺科技有限公司,6-10,长春,民营公司,少于50人,机械\设备\重工,"['五险一金', '餐饮补贴', '交通补贴', '年终奖金', '周末双休']","""中专"""
Manufacturing Trainee  生产制造管理培训生,考泰斯（长春）塑料技术有限公司,7-8,长春-经济技术开发区,外资（欧美）,150-500人,汽车,"['五险一金', '免费班车', '年终奖金', '出国机会', '专业培训', '定期体检']","""本科"""
HR Specialist,考泰斯（长春）塑料技术有限公司,4-5,长春-经济技术开发区,外资（欧美）,150-500人,汽车,[''],"""本科"""
操作工,昆山伟理塑汽车部件有限公司长春分公司,5-7,长春-宽城区,外资（欧美）,,汽车,"['五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '出国机会', '专业培训', '通讯补贴', '餐饮补贴', '弹性工作']","""初中及以下"""
仓管,昆山伟理塑汽车部件有限公司长春分公司,5-7,长春-宽城区,外资（欧美）,,汽车,"['五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '出国机会', '专业培训', '通讯补贴', '餐饮补贴', '弹性工作']","""中专"""
区域销售经理,吉林鼎亨食品有限公司,7-10,长春-二道区,民营公司,50-150人,餐饮业,[''],"""大专"""
技术员,北京特高质量技术有限公司,4-5,长春,外资（欧美）,500-1000人,汽车,"['五险一金', '补充医疗保险', '交通补贴', '年终奖金', '定期体检', '绩效奖金']","""大专"""
城乡规划部经理,吉林省昊远农林规划设计有限公司,36-48,长春-二道区,民营公司,50-150人,农\林\牧\渔,"['周末双休', '五险一金', '绩效奖金', '节日福利', '餐饮补贴']","""本科"""
Java开发工程师,吉林省昊远农林规划设计有限公司,7-10,长春-二道区,民营公司,50-150人,农\林\牧\渔,"['周末双休', '五险一金', '绩效奖金', '节日福利', '餐饮补贴']","""大专"""
迪桑特吉林省零售经理,斐乐服饰有限公司,30-36,长春-朝阳区,外资（非欧美）,5000-10000人,服装\纺织\皮革,"['五险一金', '补充医疗保险', '餐饮补贴', '出国机会', '绩效奖金', '年终奖金', '定期体检', '专业培训']","""大专"""
注塑工艺工程师,长春华众延锋彼欧汽车外饰有限公司,7-10,长春-经济技术开发区,合资,150-500人,汽车,"['五险一金', '免费班车', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '采暖补贴', '节日福利']","""本科"""
美术素描老师,长春市二道区久艺文化艺术空间,5-7,长春,民营公司,少于50人,影视\媒体\艺术\文化传播,[''],"""本科"""
美术助教老师,长春市二道区久艺文化艺术空间,2-4,长春,民营公司,少于50人,影视\媒体\艺术\文化传播,[''],"""大专"""
销售工程师,北京鸿业同行科技有限公司,5-7,长春-绿园区,民营公司,150-500人,计算机软件,"['五险一金', '员工旅游', '专业培训', '交通补贴', '定期体检', '周末双休', '餐饮补贴']","""本科"""
装配工,吉林省隆华测控股份有限公司,2-4,长春,上市公司,50-150人,机械\设备\重工,[''],"""无需经验"""
文秘五险一金双休常白班晋升空间大各种福利待遇,长江路经济开发区恒盈电子产品经销处,5-7,长春-宽城区,合资,少于50人,互联网\电子商务,"['周末双休', '包吃', '加班补贴', '节日福利', '五险一金']","""本科"""
销售内勤,吉林省隆华测控股份有限公司,2-5,长春,上市公司,50-150人,机械\设备\重工,[''],"""大专"""
装修公司实习管理员,吉林省洪岩建筑工程有限公司,2-2,长春-南关区,民营公司,150-500人,建筑\建材\工程,[''],"""高中"""
施工工长,吉林省洪岩建筑工程有限公司,18-24,长春-南关区,民营公司,150-500人,建筑\建材\工程,[''],"""高中"""
建筑工地施工管理员,吉林省洪岩建筑工程有限公司,7-10,长春-南关区,民营公司,150-500人,建筑\建材\工程,[''],"""大专"""
区域销售主管,广东开太平信息科技有限责任公司,5-7,异地招聘,民营公司,150-500人,互联网\电子商务,"['五险一金', '双休工作制', '定期体检', '带薪年假', '绩效奖金', '餐饮补贴']","""大专"""
商务专员,云南三七科技药业有限公司,10-16,长春-二道区,国企,500-1000人,制药\生物工程,"['五险一金', '绩效奖金', '通讯补贴', '专业培训', '交通补贴']","""大专"""
销售代表,云南三七科技药业有限公司,8-15,长春-二道区,国企,500-1000人,制药\生物工程,"['五险一金', '绩效奖金', '通讯补贴', '专业培训', '交通补贴']","""大专"""
驻店促销,云南三七科技药业有限公司,4-6,长春-二道区,国企,500-1000人,制药\生物工程,"['五险一金', '绩效奖金', '专业培训', '通讯补贴']","""高中"""
18高新销售\应届生\专业培训\底薪4000,贝壳找房·长春站,5-7,长春-二道区,民营公司,10000人以上,房地产,[''],"""大专"""
设备维修 机电维修 高低压电工,长春佩尔哲汽车内饰系统有限公司,5-7,长春-汽车产业开发区,合资,50-150人,汽车,"['五险一金', '包吃', '绩效奖金', '节日福利', '高温补贴', '年底奖金', '采暖补助', '生日福利']","""中专"""
总裁助理 （综合协助）,修正健康集团,10-18,长春-高新技术产业开发区,民营公司,10000人以上,快速消费品(食品、饮料、化妆品),"['五险一金', '节日福利', '法定节假日', '周末双休']","""硕士"""
模具钳工,凌云工业股份有限公司长春分公司,6-8,长春-高新技术产业开发区,国企,150-500人,汽车,"['五险一金', '全勤奖', '高温补贴', '节日福利']","""中专"""
质检员,凌云工业股份有限公司长春分公司,5-7,长春-高新技术产业开发区,国企,150-500人,汽车,"['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '高温补贴', '包三餐', '带薪年假', '专业培训', '加班补贴', '全勤奖']","""中专"""
总经理助理,伟士物流（上海）有限公司吉林分公司,7-10,长春-净月经济开发区,民营公司,150-500人,交通\运输\物流,"['五险一金', '免费午餐']","""本科"""
液压机械工程师,凌云吉恩斯科技有限公司长春分公司,6-8,长春-高新技术产业开发区,合资,50-150人,汽车,"['五险一金', '免费班车', '绩效奖金', '全勤奖', '节日福利', '餐饮补贴', '高温补贴', '通讯补贴', '加班补贴', '周末双休']","""大专"""
供应商质量管理（富晟四维尔）,长春一汽富晟四维尔汽车零部件有限公司,7-11,长春-高新技术产业开发区,合资,500-1000人,汽车,"['带薪年假', '五险一金', '包吃', '免费班车', '全勤奖', '绩效奖金', '专业培训', '高温补贴']","""本科"""
质检员（富晟四维尔）,长春一汽富晟四维尔汽车零部件有限公司,5-7,长春-高新技术产业开发区,合资,500-1000人,汽车,"['带薪年假', '五险一金', '全勤奖', '绩效奖金', '节日福利', '包吃工作餐', '周末双休', '专业培训']","""中专"""
机械维修（富晟四维尔）,长春一汽富晟四维尔汽车零部件有限公司,5-7,长春-高新技术产业开发区,合资,500-1000人,汽车,"['带薪年假', '五险一金', '包吃', '免费班车', '全勤奖', '绩效奖金', '专业培训', '高温补贴', '加班补贴']","""中技"""
客户经理（富晟四维尔）,长春一汽富晟四维尔汽车零部件有限公司,7-11,长春-高新技术产业开发区,合资,500-1000人,汽车,"['带薪年假', '五险一金', '包吃', '全勤奖', '专业培训', '加班补贴', '绩效奖金', '年终奖金', '定期体检', '免费班车']","""本科"""
日语翻译,吉林省吉通汽车零部件有限责任公司,4-5,长春-高新技术产业开发区,民营公司,150-500人,汽车,"['五险一金', '周末双休']","""无需经验"""
4S店合作经理（长春）,众之闻汽车配件（广州）有限责任公司,50-100,长春,民营公司,500-1000人,汽车,"['包住宿', '五险一金', '免费班车', '专业培训', '带薪年假', '绩效奖金', '全勤奖', '节日福利']",['']
资料员\主管,深圳鸿图建工有限公司,6-12,长春-南关区,民营公司,150-500人,建筑\建材\工程,"['带薪年假', '五险一金', '包住宿', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '高温补贴', '员工旅游', '定期体检']","""大专"""
施工员\主管,深圳鸿图建工有限公司,6-13,长春-南关区,民营公司,150-500人,建筑\建材\工程,"['带薪年假', '五险一金', '包住宿', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '高温补贴', '员工旅游', '定期体检']","""大专"""
安全员\主管,深圳鸿图建工有限公司,7-14,长春-南关区,民营公司,150-500人,建筑\建材\工程,"['带薪年假', '五险一金', '包住宿', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '高温补贴', '员工旅游', '定期体检']","""高中"""
眼科医生,普瑞眼科医院集团,5-18,长春,民营公司,1000-5000人,医疗\护理\卫生,"['五险一金', '专业培训', '绩效奖金', '年终奖金', '餐饮补贴', '定期体检', '员工旅游', '带薪年假', '周末双休']","""大专"""
院感助理,普瑞眼科医院集团,4-5,长春,民营公司,1000-5000人,医疗\护理\卫生,"['五险一金', '专业培训', '绩效奖金', '年终奖金', '餐饮补贴', '定期体检', '员工旅游', '带薪年假', '周末双休']","""大专"""
竞价专员,普瑞眼科医院集团,5-7,长春,民营公司,1000-5000人,医疗\护理\卫生,"['五险一金', '专业培训', '绩效奖金', '年终奖金', '餐饮补贴', '定期体检', '员工旅游', '带薪年假', '周末双休']","""大专"""
文案编辑,通化东宝医药经营有限公司,5-7,长春-朝阳区,上市公司,1000-5000人,制药\生物工程,[''],"""本科"""
市场推广主管,通化东宝医药经营有限公司,5-7,长春-朝阳区,上市公司,1000-5000人,制药\生物工程,[''],"""本科"""
初高中语文老师,长春市星驰教育培训学校有限公司,10-12,长春-净月经济开发区,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
初高中化学,长春市星驰教育培训学校有限公司,10-12,长春-净月经济开发区,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
初高中英语老师,长春市星驰教育培训学校有限公司,10-12,长春-净月经济开发区,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
销售顾问,长春长财致远企业管理咨询有限公司,10-12,长春-南关区,民营公司,1000-5000人,专业服务(咨询、人力资源、财会),[''],"""1年经验"""
销售工程师双休,长春威克机电设备有限公司,4-6,长春,民营公司,少于50人,机械\设备\重工,"['周末双休', '五险一金', '包吃', '绩效奖金', '带薪年假']","""本科"""
车间操作工,长春汉高表面技术有限公司,5-7,长春-高新技术产业开发区,合资,150-500人,石油\化工\矿产\地质,[''],['']
客户现场服务工程师,长春汉高表面技术有限公司,5-7,长春-高新技术产业开发区,合资,150-500人,石油\化工\矿产\地质,"['五险一金', '交通补贴', '餐饮补贴', '定期体检', '年终奖金']","""本科"""
维修工程师,长春汉高表面技术有限公司,7-10,长春-高新技术产业开发区,合资,150-500人,石油\化工\矿产\地质,"['五险一金', '补充医疗保险', '免费班车', '年终奖金', '定期体检']","""本科"""
18新房直销底薪3300\不要经验\五险一金,贝壳找房·长春站,5-7,长春-二道区,民营公司,10000人以上,房地产,[''],"""大专"""
18贝壳招聘专员双休五险一金4000+,贝壳找房·长春站,5-7,长春-二道区,民营公司,10000人以上,房地产,[''],"""本科"""
18贝壳二手房销售底薪2500（可实习）,贝壳找房·长春站,5-7,长春-二道区,民营公司,10000人以上,房地产,[''],"""大专"""
会计,吉林登海种业有限公司,4-5,长春-绿园区,民营公司,少于50人,农\林\牧\渔,"['员工旅游', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '五险', '提供食宿']","""大专"""
IGCSE\IB经济老师,长春市亿思教育咨询有限公司,18-24,长春-净月经济开发区,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
中学事业部-初中英语教师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游']","""本科"""
小学数学教师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游', '专业培训', '出国机会', '年终奖金', '弹性工作']","""本科"""
小学英语老师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游', '专业培训', '出国机会', '年终奖金', '弹性工作']","""本科"""
课程顾问(J10873),长春市新东方培训学校,5-7,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游']","""大专"""
区域管理店长,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游']","""本科"""
秋招提前批教师岗位,长春市新东方培训学校,7-10,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '出国机会', '员工旅游']","""本科"""
客服专员,长春市新东方培训学校,2-12,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利']","""大专"""
高中数学老师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游', '专业培训', '出国机会', '年终奖金', '弹性工作']","""本科"""
电话销售,长春市新东方培训学校,2-12,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游']","""大专"""
中学事业部-初中语文教师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游', '年终奖金', '弹性工作', '专业培训', '出国机会']","""本科"""
小学语文老师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游', '专业培训', '出国机会', '年终奖金', '弹性工作']","""本科"""
初中语文教师(J10067),长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游', '专业培训', '出国机会', '年终奖金', '弹性工作']","""本科"""
高中政治教师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['员工旅游', '定期体检', '五险一金', '专业培训', '出国机会', '绩效奖金', '年终奖金', '弹性工作']","""本科"""
中学事业部-高中语文教师,长春市新东方培训学校,12-18,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利']","""本科"""
中学部课程顾问,长春市新东方培训学校,4-8,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '绩效奖金', '节日福利', '专业培训', '体检']","""本科"""
中学事业部-高中物理教师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游', '专业培训', '出国机会', '年终奖金', '弹性工作']","""本科"""
高中生物老师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游', '专业培训', '出国机会', '年终奖金', '弹性工作']","""本科"""
IGCSE\IB化学老师,长春市亿思教育咨询有限公司,18-24,长春-净月经济开发区,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
IGCSE\IB物理老师,长春市亿思教育咨询有限公司,18-24,长春-净月经济开发区,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
IGCSE\IB数学老师,长春市亿思教育咨询有限公司,18-24,长春-净月经济开发区,民营公司,少于50人,教育\培训\院校,[''],"""本科"""
中学事业部-高中化学教师,长春市新东方培训学校,12-18,长春,上市公司,500-1000人,教育\培训\院校,"['五险一金', '带薪年假', '节日福利', '定期体检', '绩效奖金', '员工旅游']","""本科"""
高中地理教师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['员工旅游', '定期体检']","""本科"""
初中数学老师,长春市新东方培训学校,10-36,长春,上市公司,500-1000人,教育\培训\院校,"['定期体检', '员工旅游', '五险一金', '专业培训', '出国机会', '弹性工作', '年终奖金', '绩效奖金']","""本科"""
五险一金电话销售,国中教育科技（吉林）集团有限公司,10-12,长春-南关区,民营公司,50-150人,教育\培训\院校,"['周末双休', '绩效奖金', '五险一金', '全勤奖', '节日福利']","""无需经验"""
无责底薪+提成诚聘电话销售,国中教育科技（吉林）集团有限公司,10-12,长春-南关区,民营公司,50-150人,教育\培训\院校,"['周末双休', '带薪年假', '节日福利', '全勤奖', '五险一金']","""无需经验"""
月薪8K聘电话销售,国中教育科技（吉林）集团有限公司,10-12,长春-南关区,民营公司,50-150人,教育\培训\院校,"['带薪年假', '节日福利', '全勤奖', '五险一金']","""无需经验"""
北上广深一线待遇招聘精英,国中教育科技（吉林）集团有限公司,10-12,长春-南关区,民营公司,50-150人,教育\培训\院校,"['带薪年假', '节日福利', '全勤奖', '五险一金']","""无需经验"""
给人才更多机会挑战高薪,国中教育科技（吉林）集团有限公司,10-12,长春-南关区,民营公司,50-150人,教育\培训\院校,"['带薪年假', '节日福利', '全勤奖', '五险一金']","""1年经验"""
现场采样工程师,吉林省精科环保科技有限公司,5-10,长春,创业公司,少于50人,环保,[''],"""本科"""
